DCINFO 1|decay calculator
1000024 1000016 -15|BR(~chi_1+ -> ~nu_tau1 tau+)
1000024 -1000015 16|BR(~chi_1+ -> ~tau_1+ nu_tau)
1000024 -2000015 16|BR(~chi_1+ -> ~tau_2+ nu_tau)
1000024 1000022 24|BR(~chi_1+ -> ~chi_10 W+)
1000037
1000037 1000002 -1|BR(~chi_2+ -> ~u_L db)
1000037 -1000001 2|BR(~chi_2+ -> ~d_L* u)
1000037 1000004 -3|BR(~chi_2+ -> ~c_L sb)
1000037 -1000003 4|BR(~chi_2+ -> ~s_L* c)
1000037 1000006 -5|BR(~chi_2+ -> ~t_1 bb)
1000037 1000012 -11|BR(~chi_2+ -> ~nu_eL e+)
1000037 1000014 -13|BR(~chi_2+ -> ~nu_muL mu+)
1000037 1000016 -15|BR(~chi_2+ -> ~nu_tau1 tau+)
1000037 -1000011 12|BR(~chi_2+ -> ~e_L+ nu_e)
1000037 -1000013 14|BR(~chi_2+ -> ~mu_L+ nu_mu)
1000037 -1000015 16|BR(~chi_2+ -> ~tau_1+ nu_tau)
1000037 -2000015 16|BR(~chi_2+ -> ~tau_2+ nu_tau)
1000037 1000024 23|BR(~chi_2+ -> ~chi_1+ Z)
1000037 1000022 24|BR(~chi_2+ -> ~chi_10 W+)
1000037 1000023 24|BR(~chi_2+ -> ~chi_20 W+)
1000037 1000025 24|BR(~chi_2+ -> ~chi_30 W+)
1000037 1000024 25|BR(~chi_2+ -> ~chi_1+ h)
1000022
1000023
1000023 1000022 23|BR(~chi_20 -> ~chi_10 Z)
1000023 1000022 25|BR(~chi_20 -> ~chi_10 h)
1000023 2000001 -1|BR(~chi_20 -> ~d_R db)
1000023 -2000001 1|BR(~chi_20 -> ~d_R* d)
1000023 2000003 -3|BR(~chi_20 -> ~s_R sb)
1000023 -2000003 3|BR(~chi_20 -> ~s_R* s)
1000023 1000006 -6|BR(~chi_20 -> ~t_1 tb)
1000023 -1000006 6|BR(~chi_20 -> ~t_1* t)
1000023 1000015 -15|BR(~chi_20 -> ~tau_1- tau+)
1000023 -1000015 15|BR(~chi_20 -> ~tau_1+ tau-)
1000023 2000015 -15|BR(~chi_20 -> ~tau_2- tau+)
